n,id,story_type,evaluation
1,e1915d59-5097-44a6-ab05-98d19694b00e,positive,positive
2,b1196b23-fce6-4b75-9cf8-9e8e6c0569ec,positive,positive
3,c6331d5f-f381-4efe-a23e-2eec29d37353,positive,positive
4,4636d6be-c274-433a-853e-719e41c078dc,positive,positive
5,4dfb45f0-d0e3-4fbd-b597-71b7133877ab,positive,positive
6,eb482759-7f92-4133-8177-84fc25e28b69,positive,positive
7,58808567-da50-4d63-9a96-2852b539c5ce,positive,positive
8,da3fe384-e03d-44e4-8790-b6269647d163,positive,positive
9,32795662-9894-4c55-b303-1be3a5709e05,positive,positive
10,8c56f796-a7a1-41a7-b138-66d967b8f529,positive,positive
11,a70b16fc-e080-4d44-9c68-b62d60a265ed,positive,positive
12,3947292e-0d48-4ed3-946d-56638793b0f5,positive,positive
13,6ab59e6f-7c02-48a1-9edb-c7ecc917a4e7,positive,positive
14,cc88458e-ba87-4131-952e-b4a3b7e3df4a,positive,positive
15,271bc8b7-2a57-44e9-9589-1947161d2d9a,positive,positive
16,2acef4f2-e6dc-4d24-9f0f-8a6a83a5a3af,positive,positive
17,13277fc9-801b-4a32-aff9-76e4ec7fdd2a,positive,positive
18,e3c11bca-e563-45f8-86c6-7b2cbbc3f8e0,positive,positive
19,2a009abf-7d82-4569-909d-979d1d75f25a,positive,positive
20,f8434873-d247-4638-a6f1-3e8af1108928,positive,positive
21,2e69b9ec-1ad9-4359-83b6-3c08d9b24b20,positive,positive
22,0e4c6051-7f3d-4b60-97e6-4bc49eb0a9fe,positive,positive
23,2a7ce9f9-c8dc-4567-a4d9-599a0e28e29a,positive,positive
24,9a891fc0-5e9b-444b-96f5-a64afda07ab0,positive,positive
25,1af03c29-bfae-46c6-b5dc-31b4f75e31e6,positive,positive
26,e6fca13c-3c6a-41cd-bf27-59ce00d46751,positive,positive
27,65bfceb2-1478-4d38-9b15-5ed84d73bdfa,positive,positive
28,74c376fd-bf5b-4c6a-97fa-75f870108d8f,positive,positive
29,f9a66239-df6c-4515-b316-8c95baadebbd,positive,positive
30,cb343b00-248d-4cd5-90dc-c8c9914a08ca,positive,positive
31,d9e4a502-f7fc-4b76-88b5-49f8642294b2,positive,positive
32,2b2fe3d1-a321-4f1b-8eba-a973cf036fc3,positive,positive
33,8f345d6e-8649-4d92-9b3c-76de7f95526d,positive,positive
34,54a8bc2c-a0d0-4ae7-b939-08fde1f1d60e,positive,positive
35,e264fb25-bafa-4bb9-bef9-5c6cb77b413c,positive,positive
36,d4c60ded-2208-4b97-9213-54003d8047e0,positive,positive
37,1eebbe03-b8f9-4494-8cef-6a27dd3be83d,positive,positive
38,3d10d30c-e1c4-41c8-bb3c-bc7c03f3952b,positive,positive
39,0fea246a-d761-436a-a9b1-b80f0b4b9add,positive,positive
40,61d93df5-220e-4252-a14f-909b3cbc5f71,positive,positive
41,3521a6ed-ad36-4290-aba4-02fed3dce192,positive,positive
42,958589d4-87b0-4c1c-9fa2-a7dab91483b4,positive,positive
43,f80474ae-6c96-4695-b750-c75a754cc69f,positive,positive
44,84298dd2-f4e8-43b6-a73e-dfe0c6657f48,positive,positive
45,4836acef-f6bf-4993-869b-b4071bf40994,positive,positive
46,5d9f704f-3545-4d5a-8d71-b16c44e3f7a4,positive,positive
47,e2f7e285-2ffb-477e-bc8a-7268bc9584a3,positive,positive
48,127728c9-67f3-4fb2-b9d2-a1237e16a652,positive,positive
49,128e4796-288f-492c-993d-5ba0c10eed2c,positive,positive
50,e43c9f20-6101-4d6b-9219-b053ca5b04a8,positive,positive
51,34956dfd-b9a8-4f54-8569-dd727604cb1f,positive,positive
52,bfa46329-d40c-42a5-9308-d66b751e3a23,positive,positive
53,b9b38278-96d7-4fca-8265-dfc138d65d2f,positive,positive
54,c681ffe4-3e3e-45c5-8daa-8b21ea03e392,positive,positive
55,b956437d-7f13-4747-b6db-ab678fb6a3ca,positive,positive
56,df959afb-f387-49fc-8326-a7103177872b,positive,positive
57,bef96e56-698c-4534-9d64-35c89491813b,positive,positive
58,fe3ceefa-6250-4b6d-9f00-e01b6285a8ea,positive,positive
59,ed0c5b38-d775-4861-9c5f-9e160418eb64,positive,positive
60,9d30415a-600c-4069-b24c-9843e8c86bcc,positive,positive
61,51f37283-dfa1-4059-a11e-94f0b234e0d1,positive,positive
62,5e56cdd5-a97c-47ce-8b8f-48deb1f641d2,positive,positive
63,a50639df-6389-4dca-8b70-92e2934a64da,positive,positive
64,1ae6b3e9-9c17-4627-b54e-b4698f798b0a,positive,positive
65,29ffe8c1-08e6-412f-9c9e-d465feb2d26b,positive,positive
66,e3280334-8756-49ba-a17c-74c42b8e52c4,positive,positive
67,3bb76c00-eff1-4216-af44-7a004981c349,positive,positive
68,29e4e26c-f0bb-43d7-99e1-9aabc6745755,positive,positive
69,6f770a7b-6246-42e9-b206-8f68f0d36840,positive,positive
70,6d92e516-c46c-4a8d-84ae-8ac46dd25f24,positive,positive
71,0a9e3ec7-ac62-4cb5-8748-e84a3f45fad4,positive,positive
72,e0448058-89c1-4b3f-aaab-75e4641ca772,positive,positive
73,e212440e-7948-40bd-9170-71fabca658c9,positive,positive
74,3197e88e-9e8c-4930-974d-e42770811be9,positive,positive
75,b98b908f-e450-4394-83f4-7ad354197502,positive,positive
76,326cbe78-d5bf-4af7-8416-cb8416e22755,positive,positive
77,db710182-0fcc-4cb4-b1d0-7b47ab7783cf,positive,positive
78,65deee33-edfe-4f06-9346-36000560c811,positive,positive
79,b13fc524-ea48-4162-8881-5682e4f98091,positive,positive
80,8bc59591-cee0-4626-a338-0b04abdc66bc,positive,positive
81,49097593-3a52-4d42-b3ca-d42574c3403d,positive,positive
82,3e12839f-9e35-4efd-9b41-6c27033a36a7,positive,positive
83,99218bde-23fb-4b33-909f-c21545ec6479,positive,positive
84,8c6d61a3-2588-46e1-b292-030d45bad7d2,positive,positive
85,7a1f1c5b-8f1e-45ea-854f-6c046fda82c1,positive,positive
86,18553d15-43ca-4e46-b652-48e4fa52cdde,positive,positive
